"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","TC-API-011: POST dengan extra field tidak menyebabkan error (5xx)","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","8877","TC-API-011: POST dengan extra field tidak menyebabkan server error (5xx)","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","145","TC-API-003: Response body adalah JSON yang valid (parseable)","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","1643","TC-029: JavaScript alert can be accepted","chromium","2026-09-08","passed","2026-09-08","Alert Elements","","",""
"","2001","TC-004: Text input page loads correctly","chromium","2026-09-08","passed","2026-09-08","Text Input Element","","",""
"","1735","TC-012: Button hover state is accessible","chromium","2026-09-08","passed","2026-09-08","Button Elements","","",""
"","5732","TC-API-012: POST dengan payload kosong tidak crash server (bukan 5xx)","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","1759","TC-024: Select dropdown has options","chromium","2026-09-08","passed","2026-09-08","Select Dropdown Element","","",""
"","1970","TC-038: Textarea nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
"","3354","TC-API-006: POST dengan Id berbeda tetap mengembalikan 200","chromium","2026-09-09","failed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","6643","TC-035: Buttons nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
"","136","TC-API-005: Field ""success"" bernilai ""true""","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","136","TC-API-002: Response Content-Type mengandung application/json","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","2192","TC-005: User can type text into the input field","chromium","2026-09-08","passed","2026-09-08","Text Input Element","","",""
"","1564","TC-028: Alert trigger button is visible","chromium","2026-09-08","passed","2026-09-08","Alert Elements","","",""
"","5513","TC-016: User can uncheck a checked checkbox","chromium","2026-09-08","passed","2026-09-08","Checkbox Elements","","",""
"","1928","TC-014: Checkbox is unchecked by default","chromium","2026-09-08","passed","2026-09-08","Checkbox Elements","","",""
"","13941","TC-015: User can check the checkbox","chromium","2026-09-08","passed","2026-09-08","Checkbox Elements","","",""
"","1443","TC-041: Homepage renders on mobile viewport","chromium","2026-09-08","passed","2026-09-08","Layout & Responsiveness","","",""
"","115","TC-API-015: POST dengan Customer string panjang dikirim dengan benar","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","5951","TC-002: Homepage displays welcome heading","chromium","2026-09-08","passed","2026-09-08","Homepage","","",""
"","4917","TC-040: Practice Form nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
"","7668","TC-API-014: POST dengan Quantity = 0 tidak menyebabkan server error","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","6763","TC-006: Submit button triggers result after text entry","chromium","2026-09-08","passed","2026-09-08","Text Input Element","","",""
"","812","TC-API-001: POST dengan payload valid mengembalikan status 200","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","5886","TC-027: Alerts page loads correctly","chromium","2026-09-08","passed","2026-09-08","Alert Elements","","",""
"","6222","TC-037: Select nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
"","13884","TC-API-013: POST dengan Price = 0 tidak menyebabkan server error","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","3050","TC-API-015: POST dengan Customer string panjang tidak crash server","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","1381","TC-021: Textarea accepts long text input","chromium","2026-09-08","passed","2026-09-08","Textarea Element","","",""
"","1424","TC-025: User can select an option from the dropdown","chromium","2026-09-08","passed","2026-09-08","Select Dropdown Element","","",""
"","1423","TC-007: Input field clears correctly","chromium","2026-09-08","passed","2026-09-08","Text Input Element","","",""
"","6479","TC-032: Form can be filled and submitted","chromium","2026-09-08","passed","2026-09-08","Practice Form","","",""
"","1873","TC-033: Form submit button is enabled","chromium","2026-09-08","passed","2026-09-08","Practice Form","","",""
"","3159","TC-API-007: POST dengan Customer name berbeda tetap mengembalikan 200","chromium","2026-09-09","failed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","3752","TC-010: Button is clickable and responds","chromium","2026-09-08","passed","2026-09-08","Button Elements","","",""
"","4691","TC-API-002: Response Content-Type adalah application/json","chromium","2026-09-09","failed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","8106","TC-011: Button is enabled by default","chromium","2026-09-08","passed","2026-09-08","Button Elements","","",""
"","1800","TC-036: Checkbox nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
"","1733","TC-017: Checkbox can be toggled multiple times","chromium","2026-09-08","passed","2026-09-08","Checkbox Elements","","",""
"","5661","TC-030: Practice form page loads correctly","chromium","2026-09-08","passed","2026-09-08","Practice Form","","",""
